,press_date,press_name,ranking,title
192,2024. 9. 16. 월,서울경제,5,83평 220억 원에 팔렸다… 서울 최고가 아파트 '나인원한남'
193,2024. 9. 16. 월,서울경제,6,“아기 500만원에 파시면 안 될까요”…6년간 친자식처럼 기른 여성 결국
194,2024. 9. 16. 월,서울경제,7,"[영상]""수리비만 2200억? 그냥 폭파하자""…허리케인 피해입은 22층 빌딩 '와르르'"
195,2024. 9. 16. 월,서울경제,8,"""남편 바람기 막으려 '성적 어필 훈련' 간다?""…이틀간 비용이 무려?"
196,2024. 9. 16. 월,서울경제,9,"女직원 앞에서 ""OO 뽑아""…과기한림원 부원장 '폭언·갑질' 의혹 일파만파"
197,2024. 9. 16. 월,서울경제,10,휴대전화 게임했다고 아들 방에 가두고 때린 경찰관…아동학대 혐의 입건
198,2024. 9. 16. 월,파이낸셜뉴스,1,알바 면접 갔다가 성폭행 당한 10대…성병 결과 나온 날 '극단적 선택'
199,2024. 9. 16. 월,파이낸셜뉴스,2,"'미코 출신 레이싱모델’ 신해리, 갑작스런 사망..이틀 전 SNS에 올린 글 '의아'"
200,2024. 9. 16. 월,파이낸셜뉴스,3,"아이폰16, 8GB 램 탑재.. 갤럭시S24 결국 따라잡혔다 [1일IT템]"
201,2024. 9. 16. 월,파이낸셜뉴스,4,"""물건 훔쳤잖아""..20대 女손님, 강제로 몸 수색한 편의점 男직원"
202,2024. 9. 16. 월,파이낸셜뉴스,5,손가락 잘렸는데 100km 떨어진 곳에서 치료...추석 의료공백 노출
203,2024. 9. 16. 월,파이낸셜뉴스,6,법주사 주지스님 몰던 차량에...고향 찾은 30대 치여 숨져
204,2024. 9. 16. 월,파이낸셜뉴스,7,"장애아동 한명한명 챙긴 김건희 여사 ""작은 힘 보탤 것"""
205,2024. 9. 16. 월,파이낸셜뉴스,8,"""스타킹 찢기 배워요""..남편 바람기 막는 '섹시 어필' 훈련 캠프 등장 '경악'"
206,2024. 9. 16. 월,파이낸셜뉴스,9,'1호 기상캐스터' 김동완 전 기상통보관 별세…향년 89세
207,2024. 9. 16. 월,파이낸셜뉴스,10,"막말에 빠진 국회…尹정부서 ""양당 논평 공격성 3배 급증"""
208,2024. 9. 16. 월,SBS,1,"벌써 1800만 장 팔렸다…'오공' 열풍에 한국은 참담, 왜"
209,2024. 9. 16. 월,SBS,2,1400개 열차표 쓸었다 환불…포인트 빼먹는 꼼수 못 잡나
210,2024. 9. 16. 월,SBS,3,"페트병 오줌에 집안 쓰레기도…""지린내"" 더럽혀진 도로변"
211,2024. 9. 16. 월,SBS,4,"""황금 같은 연휴인데""…출발 직전 결항에 발 묶인 여행객"
212,2024. 9. 16. 월,SBS,5,70곳 넘게 전화…임신부 '응급실 뺑뺑이'
213,2024. 9. 16. 월,SBS,6,신축은 비싸고 재건축 기약 없고…10년 안팎 아파트 뜬다
214,2024. 9. 16. 월,SBS,7,괴산 칠보산 사찰 인근서 70대 남성 숨진 채 발견
215,2024. 9. 16. 월,SBS,8,유럽 대륙서 영국 가려다 보트 뒤집혀…8명 사망
216,2024. 9. 16. 월,SBS,9,"""원금 보장"" 거액 투자하자 먹튀…업체 가보니 정부청사?"
217,2024. 9. 16. 월,SBS,10,"""귀성길인데 민소매"" 여름 같은 한가위…곳곳 폭염특보"
218,2024. 9. 16. 월,MBN,1,"""푸바오급 인기""…태국 아기하마 '무뎅', 얼마나 귀엽길래"
219,2024. 9. 16. 월,MBN,2,"[단독] ""이웃집 주민이 폭행당하고 있다""…교제폭력 후 도주하다 추락한 남성"
220,2024. 9. 16. 월,MBN,3,"해리스, 흑인 표심 호소…트럼프 장남 ""제3세계 IQ"" 비하"
221,2024. 9. 16. 월,MBN,4,연휴 내내 30도 이상 폭염... '추분' 지나야 늦더위 탈출
222,2024. 9. 16. 월,MBN,5,신고도 안 하고 배짱 영업…주변 상인들은 분통
223,2024. 9. 16. 월,MBN,6,"밤엔 닫는 동네병원, 아프면 어디로?…""일반 응급실은 부담금 그대로"""
224,2024. 9. 16. 월,MBN,7,늘어나는 난청 환자 …이어폰 끼다가 보청기 찬다
225,2024. 9. 16. 월,MBN,8,월병 너마저…얇아진 지갑에 중추절 선물 인심도 '꽁꽁'
226,2024. 9. 16. 월,MBN,9,"""트럼프를 요리"" 해리스 밈 돌풍 만든 25세 MZ팀"
227,2024. 9. 16. 월,MBN,10,손그림 일기도 그리던 대한민국 '1호 기상캐스터'…김동완 전 통보관 별세
